,Contribution ID,What do you think are the most urgent environmental issues facting your community?,I would like to learn more about how environmental issues impact my community.,"When I have questions about climate change or environmental issues, I know where to go for the information.",How informed would you now say you are about environmental issues in your community?,How much do you now feel like you know about climate change?,People like me can have a say in the environment justice issues related to my community.,People like me can have an impact on the environment policymaking process in my community. ,I have the knowledge and skills I need to improve environment in my community. ,I have the knowledge and skills I need to respond to the collective problems facing my community. ,I want to work with other community members to take actions to improve environment in my community. ,I can create positive changes in my life. ,I have the ownership over environment problems facing my community. ,What are your goals to improve the quality of environment?,Do you agree/disagree that new technology can slow down climate change?,"If there is new technology to slow down climate change, how likely are you willing to use it in your community?",Who do you think should be responsible for ensuring that new technology is developed to slow down climate change?,Who do you think should be responsible for ensuring that new technology is deployed equitably in our community?,What are your concerns of deploying new technologies such as the carbon dioxide removal storage in your neighborhood?,Climate change affects my health.,"In the future, what is the most convenient way for you to share your opinions about environmental issues and other social issues?",Do you agree or disagree with the statement that “climate change is happening”?,Do you agree or disagree with the statement that “climate change is caused by human activities”?,Gender,edu_recode,income_recode,race_recode,zip
62,133,I think it would be the lack of information on how we can help the environment by educating communities about the impact caused by uncontrolled waste.,Agree Strongly,Disagree Strongly,Moderately Informed,Some,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,NA,Agree Somewhat,Agree Somewhat,NA,NA,NA,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53719
63,135,Education about environmental awareness and the damage that can be achieved so far,Agree Somewhat,Neutral,Moderately Informed,A Good Amount,Agree Strongly,Agree Somewhat,Agree Somewhat,Neutral,Agree Somewhat,Agree Strongly,Agree Strongly,Raise awareness in the community through teamwork.,Neutral,Agree Somewhat,1,1,Health as a priority.,Aware,In-person event like today,Disagree Strongly,Disagree Strongly,Female,NA,"Less than $25,000",Hispanic,53719
64,136,The unconsciousness of the people.,Agree Strongly,Agree Somewhat,Moderately Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Neutral,Agree Somewhat,Neutral,Agree Somewhat,Agree Somewhat,See and improve quality of life,Agree Strongly,Agree Somewhat,NA,NA,Above all health,Aware,NA,Agree Strongly,Agree Somewhat,Male,Some College or Associates Degree,"Less than $25,000",Hispanic,53719
65,137,The trash,Disagree Strongly,Neutral,Moderately Informed,Some,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Put limits.,Disagree Somewhat,Agree Somewhat,1,1,Raise more trees,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,NA,"$35,000 to $49,999",Hispanic,53562
66,138,NA,Agree Strongly,Disagree Somewhat,Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Raise awareness among new and current generations.,Disagree Somewhat,Agree Somewhat,1,1,Damage to pollution... and types of energy will use this type of machinery.,Aware,NA,Agree Strongly,Agree Strongly,Male,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53562
67,141,NA,Disagree Strongly,Disagree Strongly,Not at all Informed,A Little,Disagree Strongly,NA,Disagree Strongly,Neutral,Agree Somewhat,Disagree Somewhat,Agree Strongly,NA,Disagree Strongly,Neutral,3,1,Technology companies.,NA,Use of a website to post your opinions,Disagree Strongly,Disagree Strongly,Female,NA,NA,Hispanic,53593
68,144,NA,Agree Somewhat,Agree Somewhat,Moderately Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Neutral,Agree Somewhat,Neutral,Plant more trees; safe the energy,Neutral,Neutral,NA,2,I don't know,Aware,NA,Disagree Strongly,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53704
69,145,None,Disagree Somewhat,Agree Strongly,Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Fruit trees,Agree Somewhat,Neutral,1,1,The cost,Aware,In-person event like today,Neutral,Agree Somewhat,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,53713
70,146,None. Don't increase a budget that doesn't work. Natural options are available. I think the people would rather choose naturally.,Disagree Strongly,Agree Strongly,Very Informed,A lot,Neutral,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Have the right to buy new technology,Disagree Strongly,Disagree Strongly,NA,NA,Do what works. Naturally annual giving. City of Madison already has a forest protection in place for over 25 years. Just be truthful.,NA,In-person event like today,Disagree Strongly,Disagree Strongly,Male,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53713
71,147,Improving energy saving,Agree Somewhat,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,NA,Agree Somewhat,Agree Somewhat,4,1,How proven are the tech,Aware,Online survey,Agree Somewhat,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53715
72,148,"Farms, agriculture, use of pesticides, herbicides. Use of charcoal, pollution from industry. Reduce amount of plastic and recyclable items",Agree Somewhat,Agree Somewhat,Moderately Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,NA,Agree Somewhat,Agree Strongly,NA,NA,"Cost, not being able to afford it",Aware,NA,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"Less than $25,000",Hispanic,NA
73,149,Lack of education at all levels and making big companies accountable for their impact on the climate change,Agree Strongly,Disagree Strongly,Moderately Informed,A Good Amount,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Strongly,Agree Strongly,Disagree Somewhat,Volunteer to plant trees,Agree Somewhat,Agree Somewhat,1,1,Make sure is done equally to all starting with the less fortunate with education and making them feel their voice heard.,NA,In-person event like today,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$50,000 to $74,999",Hispanic,53593
74,150,Get people involved to learn more about the climate change,Agree Strongly,Agree Strongly,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Neutral,Neutral,Agree Strongly,Agree Strongly,Agree Strongly,NA,Neutral,Neutral,NA,NA,NA,Aware,NA,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53562
75,152,Pollution.,Agree Strongly,Neutral,Informed,Some,NA,Agree Somewhat,Neutral,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,NA,Neutral,Agree Somewhat,NA,NA,NA,NA,NA,Agree Somewhat,Agree Somewhat,Female,Some College or Associates Degree,"$75,000 to $99,999",Hispanic,53575
76,153,Stop using pesticides! Plant more trees! Fine people that do not recycle.,Agree Strongly,Neutral,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,"Recycle, plant trees, use less water, less gas, less electricity",Agree Strongly,Agree Strongly,NA,NA,None,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53575
77,154,"Lack of awareness using the three Rs. Excessive use of contaminants in food, cars, factories",Agree Somewhat,Agree Strongly,Informed,A Good Amount,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Raise children's awareness to take care of our environment by teaching eco-environmental policies,Agree Somewhat,Agree Strongly,3,3,"In my neighborhood, garbage is collected in identical containers.",Aware,In-person event like today,Agree Somewhat,Agree Somewhat,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53719
78,155,Poor recycling program,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,NA,Agree Somewhat,Agree Somewhat,NA,NA,Will improve environment,Aware,NA,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$50,000 to $74,999",Hispanic,53562
79,156,Everyday life,Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,NA,Agree Strongly,Agree Strongly,NA,NA,NA,Aware,NA,Agree Somewhat,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Hispanic,53711
80,157,Climate change,Agree Strongly,Disagree Somewhat,Moderately Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,NA,Agree Somewhat,Agree Somewhat,1,1,NA,Aware,Text messages,Agree Strongly,Agree Strongly,Male,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53562
81,158,More cooling places,Neutral,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,NA,Agree Strongly,Agree Strongly,3,2,Not enough trees,Aware,Use of a website to post your opinions,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$75,000 to $99,999",Hispanic,53711
82,159,CO2 Emissions,Agree Somewhat,Neutral,Moderately Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neutral,Agree Somewhat,Agree Somewhat,Lower carbon footprint,Agree Strongly,Agree Somewhat,1,1,Who can afford them,Aware,Online survey,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,NA,Hispanic,53703
83,160,Need to plant more trees,Agree Strongly,Agree Somewhat,Moderately Informed,Some,Neutral,Neutral,Neutral,Neutral,Agree Somewhat,Agree Somewhat,Agree Somewhat,Learn more and get involved in more groups that work on this,Neutral,Agree Somewhat,1,1,That it actually works,Aware,In-person event like today,Agree Somewhat,Agree Strongly,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53562
84,162,"PFAS runoff, farm pesticides, waste runoff, airbase contamination well, air pollution, housing low incomev issues with appliance and use energy efficiency",Agree Strongly,Agree Somewhat,Slightly Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Learn ways to reduce footprint,Agree Somewhat,Agree Somewhat,4,1,"Waste product, cost/maintenance/type of pollution causae by use, sourcing, government contract?",Aware,NA,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$50,000 to $74,999",Hispanic,53590
85,163,To inform at our community how we can help,Agree Somewhat,Agree Somewhat,Slightly Informed,A Good Amount,Agree Strongly,Agree Strongly,NA,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,NA,Neutral,Neutral,2,1,NA,Aware,NA,NA,NA,Female,NA,NA,Hispanic,NA
86,165,"Carbon pollution, deforestation",Agree Somewhat,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,A better world for our children,Agree Somewhat,Neutral,NA,NA,"Tree can do the same thing, not really sure if we need storage boxes",Aware,In-person event like today,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Hispanic,53593
87,170,There is a lack of knowledge about the good use of resources.,Agree Somewhat,Neutral,Informed,A Good Amount,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Improve the use of resources.,Agree Somewhat,Agree Somewhat,NA,NA,The economic cost that would be incurred.,Aware,NA,Agree Strongly,Agree Somewhat,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53562
88,171,"Excess garbage; contamination with different (cars, chemicals, etc.)",Agree Somewhat,Disagree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Neutral,Neutral,Neutral,Agree Somewhat,Agree Somewhat,Start supporting from home.,Agree Somewhat,Agree Somewhat,1,NA,"How it affects us regarding the performance of our lives, it does have risks.",Aware,Online survey,Disagree Strongly,NA,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,5137
89,173,Climate,Neutral,Neutral,Moderately Informed,A Good Amount,Agree Somewhat,Neutral,Neutral,Neutral,Agree Somewhat,Agree Somewhat,Agree Somewhat,Pollute less,Neutral,Neutral,5,1,The space it takes to build one,Aware,NA,Agree Somewhat,Agree Strongly,Male,Less than High School Diploma,"Less than $25,000",Hispanic,NA
