"","census_tract_full","state_fips","county_fips","census_tract","census_block","zip","hisp_code","race_recode","income_recode","edu_recode","census_block_full","name","COUNTY","Location","census_block_full_name"
"122","55025011900","55","025","011900","1030","53531","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250119001030",119,"Dane","Census Tract 119, Dane County, Wisconsin","Block: 1030,Census Tract 119, Dane County, Wisconsin"
"123","55025011900","55","025","011900","2020","53531","Not Hispanic","Black or African American","$50,000 to $74,999","Some College or Associates Degree","550250119002020",119,"Dane","Census Tract 119, Dane County, Wisconsin","Block: 2020,Census Tract 119, Dane County, Wisconsin"
"124","55025012002","55","025","012002","4100","53531","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250120024100",120.02,"Dane","Census Tract 120.02, Dane County, Wisconsin","Block: 4100,Census Tract 120.02, Dane County, Wisconsin"
"125","55025012002","55","025","012002","1000","53531","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250120021000",120.02,"Dane","Census Tract 120.02, Dane County, Wisconsin","Block: 1000,Census Tract 120.02, Dane County, Wisconsin"
"126","55025012002","55","025","012002","4025","53531","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250120024025",120.02,"Dane","Census Tract 120.02, Dane County, Wisconsin","Block: 4025,Census Tract 120.02, Dane County, Wisconsin"
"127","55025012003","55","025","012003","2022","53527","Not Hispanic","White","$100,000 to $149,999","Some College or Associates Degree","550250120032022",NA,NA,NA,"Block: 2022,NA"
"128","55025012202","55","025","012202","3020","53589","Not Hispanic","White","$150,000 to $199,999","Bachelors Degree or Higher","550250122023020",122.02,"Dane","Census Tract 122.02, Dane County, Wisconsin","Block: 3020,Census Tract 122.02, Dane County, Wisconsin"
"129","55025012400","55","025","012400","1004","53575","Not Hispanic","Black or African American","Less than $25,000","Less than High School Diploma","550250124001004",124,"Dane","Census Tract 124, Dane County, Wisconsin","Block: 1004,Census Tract 124, Dane County, Wisconsin"
"130","55025012501","55","25","12501","1026","53575","Not Hispanic","White","Less than $25,000","Bachelors Degree or Higher","550250125011026",125.01,"Dane","Census Tract 125.01, Dane County, Wisconsin","Block: 1026,Census Tract 125.01, Dane County, Wisconsin"
"131","55025012501","55","25","12501","5014","53575","Not Hispanic","White","$35,000 to $49,999","Some College or Associates Degree","550250125015014",125.01,"Dane","Census Tract 125.01, Dane County, Wisconsin","Block: 5014,Census Tract 125.01, Dane County, Wisconsin"
"132","55025012600","55","25","12600","3034","53508","Not Hispanic","White","$50,000 to $74,999","Some College or Associates Degree","550250126003034",126,"Dane","Census Tract 126, Dane County, Wisconsin","Block: 3034,Census Tract 126, Dane County, Wisconsin"
"133","55025012600","55","25","12600","3062","53508","Not Hispanic","White","$35,000 to $49,999","Some College or Associates Degree","550250126003062",126,"Dane","Census Tract 126, Dane County, Wisconsin","Block: 3062,Census Tract 126, Dane County, Wisconsin"
"134","55025012700","55","25","12700","1070","53517","Not Hispanic","White","$50,000 to $74,999","Some College or Associates Degree","550250127001070",127,"Dane","Census Tract 127, Dane County, Wisconsin","Block: 1070,Census Tract 127, Dane County, Wisconsin"
"135","55025012700","55","25","12700","1127","53572","Not Hispanic","White","$50,000 to $74,999","High School Graduate (Includes Equivalency)","550250127001127",127,"Dane","Census Tract 127, Dane County, Wisconsin","Block: 1127,Census Tract 127, Dane County, Wisconsin"
"136","55025012800","55","25","12800","4072","53572","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250128004072",128,"Dane","Census Tract 128, Dane County, Wisconsin","Block: 4072,Census Tract 128, Dane County, Wisconsin"
"137","55025012800","55","025","012800","2013","53572","Not Hispanic","White","$150,000 to $199,999","Bachelors Degree or Higher","550250128002013",128,"Dane","Census Tract 128, Dane County, Wisconsin","Block: 2013,Census Tract 128, Dane County, Wisconsin"
"138","55025012900","55","25","12900","2085","53515","Not Hispanic","White","$35,000 to $49,999","High School Graduate (Includes Equivalency)","550250129002085",129,"Dane","Census Tract 129, Dane County, Wisconsin","Block: 2085,Census Tract 129, Dane County, Wisconsin"
"139","55025012900","55","025","012900","2038","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250129002038",129,"Dane","Census Tract 129, Dane County, Wisconsin","Block: 2038,Census Tract 129, Dane County, Wisconsin"
"140","55025013100","55","25","13100","2036","53560","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250131002036",131,"Dane","Census Tract 131, Dane County, Wisconsin","Block: 2036,Census Tract 131, Dane County, Wisconsin"
"141","55025013100","55","25","13100","4075","53515","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250131004075",131,"Dane","Census Tract 131, Dane County, Wisconsin","Block: 4075,Census Tract 131, Dane County, Wisconsin"
"142","55025013100","55","25","13100","4098","53515","Not Hispanic","White","$50,000 to $74,999","Some College or Associates Degree","550250131004098",131,"Dane","Census Tract 131, Dane County, Wisconsin","Block: 4098,Census Tract 131, Dane County, Wisconsin"
"143","55025013100","55","25","13100","4159","53515","Not Hispanic","White","$35,000 to $49,999","Bachelors Degree or Higher","550250131004159",131,"Dane","Census Tract 131, Dane County, Wisconsin","Block: 4159,Census Tract 131, Dane County, Wisconsin"
"144","55025013200","55","25","13200","5006","53532","Not Hispanic","White","$35,000 to $49,999","Some College or Associates Degree","550250132005006",132,"Dane","Census Tract 132, Dane County, Wisconsin","Block: 5006,Census Tract 132, Dane County, Wisconsin"
"145","55025013200","55","25","13200","1030","53529","Not Hispanic","White","$150,000 to $199,999","Bachelors Degree or Higher","550250132001030",132,"Dane","Census Tract 132, Dane County, Wisconsin","Block: 1030,Census Tract 132, Dane County, Wisconsin"
"146","55025013200","55","25","13200","5007","53571","Not Hispanic","White","$35,000 to $49,999","Bachelors Degree or Higher","550250132005007",132,"Dane","Census Tract 132, Dane County, Wisconsin","Block: 5007,Census Tract 132, Dane County, Wisconsin"
"147","55025013200","55","25","13200","1024","53529","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250132001024",132,"Dane","Census Tract 132, Dane County, Wisconsin","Block: 1024,Census Tract 132, Dane County, Wisconsin"
"148","55025013200","55","25","13200","5010","53571","Not Hispanic","White","Less than $25,000","Bachelors Degree or Higher","550250132005010",132,"Dane","Census Tract 132, Dane County, Wisconsin","Block: 5010,Census Tract 132, Dane County, Wisconsin"
"149","55025013201","55","025","013201","1051","53529","Not Hispanic","White","$35,000 to $49,999","Some College or Associates Degree","550250132011051",NA,NA,NA,"Block: 1051,NA"
"150","55025013201","55","025","013201","1007","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132011007",NA,NA,NA,"Block: 1007,NA"
"151","55025013201","55","025","013201","1065","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Some College or Associates Degree","550250132011065",NA,NA,NA,"Block: 1065,NA"
"152","55025013201","55","025","013201","1067","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132011067",NA,NA,NA,"Block: 1067,NA"
"153","55025013201","55","025","013201","1058","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132011058",NA,NA,NA,"Block: 1058,NA"
"154","55025013201","55","025","013201","1062","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132011062",NA,NA,NA,"Block: 1062,NA"
"155","55025013201","55","025","013201","1044","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132011044",NA,NA,NA,"Block: 1044,NA"
"156","55025013201","55","025","013201","1074","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132011074",NA,NA,NA,"Block: 1074,NA"
"157","55025013201","55","025","013201","2008","53529","Not Hispanic","Black or African American","$50,000 to $74,999","Bachelors Degree or Higher","550250132012008",NA,NA,NA,"Block: 2008,NA"
"158","55025013202","55","025","013202","1013","53598","Not Hispanic","White","$150,000 to $199,999","Bachelors Degree or Higher","550250132021013",NA,NA,NA,"Block: 1013,NA"
"159","55025013301","55","25","13301","2019","53532","Not Hispanic","White","$35,000 to $49,999","Some College or Associates Degree","550250133012019",133.01,"Dane","Census Tract 133.01, Dane County, Wisconsin","Block: 2019,Census Tract 133.01, Dane County, Wisconsin"
"160","55025013301","55","025","013301","2005","53532","Not Hispanic","Black or African American","$50,000 to $74,999","Some College or Associates Degree","550250133012005",133.01,"Dane","Census Tract 133.01, Dane County, Wisconsin","Block: 2005,Census Tract 133.01, Dane County, Wisconsin"
"161","55025013700","55","025","013700","2036","53593","Hispanic","White","$35,000 to $49,999","Bachelors Degree or Higher","550250137002036",137,"Dane","Census Tract 137, Dane County, Wisconsin","Block: 2036,Census Tract 137, Dane County, Wisconsin"
"162","55055100400","55","055","100400","1036","53594","Hispanic","White","Less than $25,000",NA,"550551004001036",1004,"Jefferson","Census Tract 1004, Jefferson County, Wisconsin","Block: 1036,Census Tract 1004, Jefferson County, Wisconsin"
"163","55055100602","55","55","100602","1048","53523","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550551006021048",1006.02,"Jefferson","Census Tract 1006.02, Jefferson County, Wisconsi","Block: 1048,Census Tract 1006.02, Jefferson County, Wisconsi"
"164","55055100602","55","55","100602","1024","53523","Not Hispanic","White","$35,000 to $49,999","Bachelors Degree or Higher","550551006021024",1006.02,"Jefferson","Census Tract 1006.02, Jefferson County, Wisconsi","Block: 1024,Census Tract 1006.02, Jefferson County, Wisconsi"
"165","55131400104","55","131","400104","2001","53090","Not Hispanic","White","$50,000 to $74,999","Some College or Associates Degree","551314001042001",4001.04,"Washington","Census Tract 4001.04, Washington County, Wiscons","Block: 2001,Census Tract 4001.04, Washington County, Wiscons"
"166",NA,NA,NA,NA,NA,NA,"Hispanic","White","$100,000 to $149,999","Bachelors Degree or Higher",NA,NA,NA,NA,"Block: NA,NA"
